datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
1/28/2004,GOES-12,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,557,674","-4,933,333",
1/28/2004,GOES-12,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,561,006","-4,931,667",
2/11/2004,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,526","-49,287",
1/9/2005,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,523","-49,289",
7/7/2005,AQUA_M-M,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,468","-49,285",
9/14/2006,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,593","-49,257",
11/15/2006,NOAA-12,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,537,333",-49.28,
11/15/2006,NOAA-12,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,537,333",-49.27,
6/13/2007,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,558","-49,301",
9/5/2007,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,466","-49,354",
1/5/2008,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,522","-49,294",
2/6/2008,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,527","-49,294",
7/21/2008,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,547,667",-49.19,
7/21/2008,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,548,667","-49,205",
8/28/2008,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,538,833","-4,926,667",
6/29/2009,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,558,333","-4,933,667",
1/13/2011,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,526","-49,297",
1/13/2011,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,525","-49,287",
7/17/2011,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,554","-49,258",
8/16/2011,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,514",-49.35,
8/16/2011,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,573","-49,249",
9/1/2011,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,425","-49,221",
12/13/2011,ATSR,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,-25.56,"-49,342",
11/19/2012,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,-25.39,-49.35,
12/24/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,544,872","-4,925,986",
10/18/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,561,914","-4,933,218",
8/30/2012,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,553,833","-4,933,667",
10/31/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-255,376","-4,933,023",
4/30/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-255,011","-4,931,639",
8/22/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,546,391","-4,935,462",
9/5/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,549,185","-4,936,697",
7/4/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,561,381","-4,932,756",
9/5/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,549,103","-4,936,874",
11/19/2012,NOAA-15,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,538,833","-4,934,167",
9/20/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,549,409","-4,933,711",
9/16/2012,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,538,386","-4,922,415",
8/12/2012,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,552,153","-492,876",
12/10/2013,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,525","-49,283",
3/2/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,554,343","-4,931,374",
9/15/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-256,176","-4,932,272",
4/30/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,555,537","-4,932,998",
9/9/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,545,476","-4,937,151",
6/7/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,556,708","-4,924,497",
9/9/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,545,591","-4,937,019",
2/28/2013,TRMM,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,-25.5,-49.37,
4/19/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,546,275","-4,935,502",
7/11/2013,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,-25.41,"-49,377",
7/29/2013,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-25,589","-49,334",
8/20/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,553,712","-4,933,825",
8/20/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,552,204","-4,927,993",
8/29/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,538,629","-4,935,954",
9/14/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,561,691","-4,932,472",
9/13/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,552,693","-4,921,907",
9/13/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,543,379","-4,933,958",
7/29/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,553,113","-4,928,092",
10/20/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,546,344","-49,358",
10/20/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,546,105","-4,935,715",
7/31/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,552,767","-4,922,346",
11/14/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-255,208","-492,874",
8/4/2013,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,,,,"-2,535,044","-4,924,826",
1/23/2014,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,4,4,-999,"-2,550,706","-493,516",
5/7/2014,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,-999,"-2,547,643","-4,931,831",
11/17/2014,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,3,0,-999,"-256,137","-4,935,324",
1/29/2014,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,5,8.5,-999,"-25,525",-49.29,
6/23/2014,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0.6,-999,"-25,505",-49.31,
8/7/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,10,0,0.7,"-2,556,359","-4,929,983",
8/23/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,0.8,"-254,231","-4,936,775",
8/24/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,-999,"-2,559,786","-4,934,626",
1/25/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0.2,-999,"-2,548,538","-492,632",
8/5/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,12,0,-999,"-2,549,265","-4,936,371",
8/24/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,-999,"-2,559,853","-4,934,818",
8/27/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,552,595","-4,933,378",
8/28/2014,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,-999,"-2,546,391","-4,935,757",
1/24/2015,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,3,0.2,-999,"-25,522","-49,297",
8/18/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,23,1.7,-999,"-253,755","-4,933,578",
9/24/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,5,0,1,"-2,560,529","-4,934,832",
6/4/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0,-999,"-2,535,827","-4,923,803",
8/2/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,9,0,-999,"-2,550,331","-4,931,778",
8/4/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,11,0,-999,"-2,550,953","-4,934,333",
8/18/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,23,1.7,-999,"-2,537,794","-4,933,679",
8/3/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,10,0,0.1,"-2,563,095","-4,935,765",
8/3/2015,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,10,0,-999,"-2,562,968","-4,936,026",
7/9/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0.2,-999,"-2,541,232","-4,933,557",
1/11/2016,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,4,17.5,-999,"-25,523","-49,292",
4/8/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,548,541","-4,926,644",
7/10/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,555,185","-4,926,601",
7/10/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,555,523","-4,926,535",
6/15/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,8,0,0.5,"-2,557,504","-493,204",
7/11/2016,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0.2,-999,"-25,489","-49,197",
8/1/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,15,0.5,-999,"-2,551,756","-4,933,867",
4/22/2016,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,7,1.6,-999,"-2,549,163","-4,926,188",
7/26/2016,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,10,0.3,0,"-25,515","-49,319",
4/22/2016,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,7,1.6,-999,"-2,549,096","-4,926,587",
9/14/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0.1,0,"-2,558,735","-4,925,482",
7/11/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0.3,0.9,"-2,556,563","-4,924,474",
7/3/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,0.4,"-2,554,579","-4,922,825",
7/3/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,-999,"-2,551,023","-4,934,282",
9/13/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,2.2,0,"-2,558,875","-4,925,804",
7/26/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,10,0.1,0,"-2,558,934","-4,926,178",
