time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2004-02-02,63,27.9,18.7,22.5,31.6,20.6,25.3,2004-02-02T05:52,2004-02-02T19:08,25.18,12.10,12.10,0.00,7.0,12.1,29.9,276,4.84
2004-02-03,63,26.9,19.6,21.9,32.3,22.1,24.8,2004-02-03T05:53,2004-02-03T19:08,19.99,10.50,10.50,0.00,9.0,13.0,31.0,88,3.85
2004-02-04,3,27.7,19.6,23.1,31.8,22.0,26.4,2004-02-04T05:53,2004-02-04T19:07,26.91,0.00,0.00,0.00,0.0,8.9,21.6,29,5.20
2004-02-05,63,27.2,19.4,22.5,31.7,22.3,25.7,2004-02-05T05:54,2004-02-05T19:07,20.57,20.30,20.30,0.00,11.0,13.2,28.1,306,3.95
2004-02-06,63,21.7,16.8,19.6,22.7,16.6,20.2,2004-02-06T05:55,2004-02-06T19:06,15.43,16.30,16.30,0.00,9.0,18.8,39.6,132,2.67
2004-02-07,3,22.0,15.2,17.6,21.9,15.0,17.2,2004-02-07T05:56,2004-02-07T19:06,23.35,0.00,0.00,0.00,0.0,17.2,36.4,125,3.95
2004-02-08,53,20.6,15.3,17.3,20.5,14.2,16.6,2004-02-08T05:56,2004-02-08T19:05,20.82,4.00,4.00,0.00,16.0,21.5,44.6,114,3.28
2004-02-09,51,20.3,15.1,17.2,20.7,14.2,16.5,2004-02-09T05:57,2004-02-09T19:05,20.99,2.40,2.40,0.00,13.0,20.3,45.0,109,3.38
2004-02-10,51,21.3,14.5,17.7,21.5,14.6,17.5,2004-02-10T05:58,2004-02-10T19:04,21.65,0.20,0.20,0.00,2.0,17.2,34.9,100,3.69
2004-02-11,53,22.5,15.6,18.3,24.2,15.5,18.4,2004-02-11T05:58,2004-02-11T19:03,21.23,2.10,2.10,0.00,7.0,17.3,37.4,92,3.68
2004-02-12,51,22.7,16.1,18.8,25.2,16.2,19.1,2004-02-12T05:59,2004-02-12T19:02,20.80,0.90,0.90,0.00,5.0,16.9,34.9,84,3.62
2004-02-13,53,24.8,15.5,19.7,27.6,16.3,21.1,2004-02-13T06:00,2004-02-13T19:02,22.83,1.20,1.20,0.00,5.0,13.5,29.9,62,4.16
