Date,Price US$,Daily %,Monthly %
2/2/2004,148.36,,
2/3/2004,148.35,,
2/4/2004,149.15,,
2/5/2004,147.54,,
2/9/2004,147.66,,
2/10/2004,148.78,,
2/11/2004,147.96,,
2/12/2004,148.7,,
2/13/2004,139.83,,
2/16/2004,150.29,,
2/17/2004,148.08,,
2/18/2004,148.09,,
2/19/2004,147.03,,
2/20/2004,147.79,,
2/25/2004,148.31,,
2/26/2004,148.68,,
2/27/2004,150.67,,
3/1/2004,150.97,,
3/2/2004,150.41,,
3/3/2004,151.99,,
3/4/2004,152.15,,
3/5/2004,151.99,,
3/8/2004,154.11,,
3/9/2004,151.86,,
3/10/2004,151.8,,
3/11/2004,151.01,,
3/12/2004,151.04,,
3/15/2004,151.67,,
3/16/2004,152.54,,
3/17/2004,152.68,,
3/18/2004,155.09,,
3/19/2004,156.53,,
3/22/2004,154.33,,
3/23/2004,155.87,,
3/24/2004,161.35,,
3/25/2004,164.02,,
3/26/2004,165.79,,
3/29/2004,166.55,,
3/30/2004,167.2,,
3/31/2004,170.31,,
4/1/2004,172.89,,
4/2/2004,173.08,,
4/5/2004,177.11,,
4/6/2004,176.53,,
4/7/2004,179.41,,
4/8/2004,176.9,,
4/12/2004,183.39,,
4/13/2004,185.02,,
4/14/2004,186.43,,
4/15/2004,184.44,,
4/16/2004,187.67,,
4/19/2004,187.07,,
4/20/2004,186.38,,
4/22/2004,186.13,,
4/23/2004,186.65,,
4/26/2004,187.73,,
4/27/2004,186.3,,
4/28/2004,186.5,,
4/29/2004,184.7,,
4/30/2004,187.59,,
5/3/2004,182.37,,
5/4/2004,183.35,,
5/5/2004,187.53,,
5/6/2004,179.79,,
5/7/2004,181.08,,
5/10/2004,177.03,,
5/11/2004,177.72,,
5/12/2004,177.82,,
5/13/2004,177.18,,
5/14/2004,180.88,,
5/17/2004,180.2,,
5/18/2004,178.98,,
5/19/2004,182.38,,
5/20/2004,176.78,,
5/21/2004,180.71,,
5/24/2004,182.96,,
5/25/2004,184.0,,
5/26/2004,183.17,,
5/27/2004,184.94,,
5/28/2004,188.67,,
5/31/2004,185.08,,
6/1/2004,183.15,,
6/2/2004,186.43,,
6/3/2004,183.74,,
6/4/2004,186.13,,
6/7/2004,185.49,,
6/8/2004,182.98,,
6/9/2004,184.58,,
6/11/2004,183.29,,
6/14/2004,183.73,,
6/15/2004,184.13,,
6/16/2004,184.6,,
6/17/2004,184.33,,
6/18/2004,181.45,,
6/21/2004,182.11,,
6/22/2004,181.4,,
6/23/2004,180.23,,
6/24/2004,180.56,,
6/25/2004,177.03,,
6/28/2004,173.42,,
6/29/2004,173.34,,
6/30/2004,174.98,,
7/1/2004,174.53,,
7/2/2004,175.65,,
7/5/2004,175.1,,
7/6/2004,173.33,,
7/7/2004,173.05,,
7/8/2004,170.07,,
7/9/2004,170.8,,
7/12/2004,171.17,,
7/13/2004,169.33,,
7/14/2004,169.29,,
7/15/2004,170.23,,
7/16/2004,168.3,,
7/19/2004,168.61,,
7/20/2004,167.87,,
7/21/2004,165.88,,
7/22/2004,164.12,,
7/23/2004,164.59,,
7/26/2004,163.55,,
7/27/2004,161.41,,
7/28/2004,160.36,,
7/29/2004,156.43,,
7/30/2004,157.61,,
8/2/2004,154.2,,
8/3/2004,154.7,,
8/4/2004,152.25,,
8/5/2004,151.31,,
8/6/2004,151.78,,
8/9/2004,152.68,,
8/10/2004,149.61,,
8/11/2004,149.01,,
8/12/2004,148.64,,
8/13/2004,148.39,,
8/16/2004,149.14,,
8/17/2004,149.47,,
8/18/2004,149.8,,
8/19/2004,147.82,,
8/20/2004,148.39,,
8/23/2004,147.44,,
8/24/2004,149.04,,
8/25/2004,148.1,,
8/26/2004,145.67,,
8/27/2004,146.96,,
8/30/2004,144.18,,
8/31/2004,146.32,,
9/1/2004,145.63,,
9/2/2004,143.28,,
9/3/2004,143.84,,
9/6/2004,143.65,,
9/8/2004,142.19,,
9/9/2004,141.32,,
9/10/2004,140.46,,
9/13/2004,139.45,,
9/14/2004,139.54,,
9/15/2004,137.61,,
9/16/2004,139.06,,
